"","x"
"1",7.13454791546468e-06
"2",2.08059793622441e-06
"3",1.00246704275952e-07
"4",5.49992198155012e-06
"5",1.846052902212e-06
"6",9.29651317225593e-08
"7",1.14196934532489e-07
"8",1.60685004032711e-07
"9",5.66710124718573e-06
"10",1.40603943681771e-06
"11",6.6964661175873e-06
"12",2.87644017396065e-08
"13",2.9765101952788e-07
"14",3.14497934968046e-05
"15",6.1587863138229e-10
"16",2.37580853790328e-08
"17",4.2305135847646e-07
"18",1.11501515157641e-07
"19",6.58141896737757e-08
"20",5.98038718721843e-10
"21",1.12333785392047e-05
"22",4.76082553172118e-06
"23",2.91298961356928e-06
"24",8.73216422561132e-07
"25",2.87064715734099e-05
"26",5.10541052636457e-06
"27",9.84683852493173e-07
"28",1.42651003541799e-05
"29",2.46071638253688e-05
"30",1.73625995447261e-06
"31",4.47559111884195e-07
"32",7.70323819707822e-07
"33",4.23943166939412e-06
"34",1.75587396776776e-05
"35",1.11638014717183e-06
"36",6.67116481195852e-07
"37",2.49545172984854e-05
"38",3.23044538253212e-06
"39",1.86776234963833e-05
"40",3.82082773169239e-07
"41",8.29497562388017e-08
"42",1.04516985913911e-05
"43",1.19033796843793e-06
"44",7.44621094719692e-06
"45",2.15617845072258e-06
"46",1.00885749159707e-07
"47",6.2572039566069e-06
"48",8.95476122812027e-06
"49",2.81085191956017e-06
"50",1.44710738859325e-10
"51",7.25755035213393e-06
"52",5.03080183345977e-07
"53",1.34753613028712e-05
"54",8.27480899643457e-07
"55",1.905655184439e-06
"56",8.79834970174002e-07
"57",1.17725805526457e-07
"58",1.78856909398391e-07
"59",1.86979610146718e-06
"60",3.47555028495981e-06
"61",4.52969883783694e-07
"62",1.14575832587867e-06
"63",1.60753092804736e-06
"64",4.50462771845893e-08
"65",1.31546711586779e-06
"66",1.06579907419229e-09
"67",1.18311822487057e-07
"68",7.93021423409315e-09
"69",4.22043715218314e-06
"70",1.12668770016583e-05
"71",1.1057030946165e-09
"72",1.69897067455636e-05
"73",1.52438965225349e-05
"74",1.97460314057938e-08
"75",2.61189034301965e-07
"76",1.79822936265838e-05
"77",1.00347740842081e-05
"78",3.39263828302002e-05
"79",1.85705995530335e-05
"80",9.43776583264978e-06
"81",2.91434622119533e-06
"82",1.93348658457474e-06
"83",5.89010438713794e-06
"84",2.18437916805353e-05
"85",1.2866115542114e-07
"86",9.04711501150375e-06
"87",9.23713425587304e-06
"88",3.64392509183259e-06
"89",1.75514471568683e-05
"90",2.27429803222401e-08
"91",7.92658445034753e-05
"92",1.59061219718299e-05
"93",5.44285546459324e-05
"94",9.95062943823471e-06
"95",6.2250344064775e-05
"96",2.99517768760825e-06
"97",1.36547964874606e-06
"98",5.2014510218176e-07
"99",2.14255064060893e-07
"100",2.0782151949253e-05
"101",9.0620161260504e-07
"102",2.02323716044845e-07
"103",2.27896435412814e-07
"104",1.52941025440737e-06
"105",1.21682429060814e-05
"106",2.48297736467435e-07
"107",6.41081958897518e-07
"108",3.66392069744302e-06
"109",1.43094474234662e-07
"110",2.25003531413248e-06
"111",5.2871612420687e-08
"112",6.80268385848236e-05
"113",1.23951517967169e-07
"114",3.20291648918613e-07
"115",1.97891026710042e-07
"116",1.16456387144782e-07
"117",3.30846895656847e-06
"118",4.52136158500123e-06
"119",1.15517892441974e-05
"120",2.92216249994391e-05
"121",2.40003129869979e-06
"122",3.48210739148417e-05
"123",2.79340194999282e-09
"124",7.76842488571046e-08
"125",2.99628973279023e-06
"126",1.67370523199388e-06
"127",3.12173350171675e-07
"128",1.81413106061617e-06
"129",3.37452306080845e-06
"130",1.81836950531552e-05
"131",1.21511245198699e-05
"132",9.90278747572244e-06
"133",2.3127414423028e-05
"134",1.20759820167292e-05
"135",4.95890403092445e-07
"136",1.52699828220236e-07
"137",2.02537117486498e-10
"138",1.4536540951467e-05
"139",3.10667648150778e-06
"140",8.39103755646547e-06
"141",0.000156166345789598
"142",4.00704745035781e-06
"143",3.53916155287723e-05
"144",7.75779402652846e-08
"145",1.16985233491777e-06
"146",1.67862885377657e-06
"147",1.11995541037285e-07
"148",2.04601919991797e-06
"149",1.52654357070421e-05
"150",7.91389513677111e-06
"151",8.31177561012645e-06
"152",2.35199206453342e-06
"153",6.76510645889207e-06
"154",5.93685339052585e-07
"155",4.7794365044291e-08
"156",2.63264205970555e-06
"157",1.29462129040001e-08
"158",7.35010895136474e-06
"159",6.03571182513264e-06
"160",6.81496643208112e-09
"161",1.10086283831893e-06
"162",3.54956070063543e-06
"163",9.53674383774225e-05
"164",7.12963428059084e-06
"165",6.78539283713521e-07
"166",7.10906373887205e-06
"167",2.40380411649835e-06
"168",3.1521673016916e-07
"169",1.42160954526527e-05
"170",1.01508332476979e-06
"171",5.90929550453767e-07
"172",2.43219419346781e-06
"173",1.35006558978736e-06
"174",1.27746265727568e-07
"175",4.07916302987151e-06
"176",1.00993867498827e-05
"177",6.5473193657801e-07
"178",1.85376651343312e-05
"179",4.82152177341315e-06
"180",5.84109705899187e-05
"181",1.11305254733217e-05
"182",5.93986994076389e-06
"183",1.94470530337953e-07
"184",5.88107732493508e-07
"185",2.30829114342861e-06
"186",4.72432268685263e-08
"187",6.92882341112895e-07
"188",1.21102189452447e-05
"189",2.85391670049848e-08
"190",3.83296029985928e-05
"191",5.71191519184962e-07
"192",7.00829100875374e-07
"193",6.20337598136679e-07
"194",2.33522408262035e-07
"195",5.04935255807903e-05
"196",2.0983973435615e-07
"197",1.20671706014287e-07
"198",2.69221067350073e-07
"199",1.26556117882267e-05
"200",4.36106137167512e-06
"201",1.58054990559906e-07
"202",2.73940618551756e-09
"203",1.99191192394356e-06
"204",1.27205831034573e-06
"205",3.19840526954757e-11
"206",7.18461585868548e-06
"207",1.37561032067754e-06
"208",9.81290890954201e-06
"209",1.85266910848638e-07
"210",1.87393550308207e-05
"211",3.47266836465529e-07
"212",2.52953789458056e-07
"213",1.22535800192696e-05
"214",3.38280376021027e-06
"215",2.2944790012822e-05
"216",4.11864949851034e-07
"217",1.31125624394125e-06
"218",6.88974379840353e-07
"219",1.16277021071038e-06
"220",1.97478961790007e-07
"221",1.53693111140109e-06
"222",1.20858727756358e-06
"223",1.81040090663619e-07
"224",4.83082727609533e-07
"225",1.6206176923528e-07
"226",2.61814856154109e-06
"227",9.55982903166187e-06
"228",5.47286057656847e-06
"229",4.27907836605029e-07
"230",1.28955916998562e-07
"231",6.07038354343382e-06
"232",5.72931582110518e-06
"233",1.32435617562223e-05
"234",1.53101483225659e-05
"235",1.35401911746783e-05
"236",1.51841542290796e-07
"237",1.21225765718842e-06
"238",5.81090109420038e-07
"239",1.81272012568069e-05
"240",3.95886612782776e-06
"241",3.59781879407925e-07
"242",1.82802676928853e-05
"243",1.60978714572139e-06
"244",1.38004302865037e-05
