"","Gender","Customer_Type","Age","Type_of_Travel","Class","Flight_Distance","Inflight_wifi_service","Departure_Arrival_time_convenient","Ease_of_Online_booking","Gate_location","Food_and_drink","Online_boarding","Seat_comfort","Inflight_entertainment","On_board_service","Leg_room_service","Baggage_handling","Checkin_service","Inflight_service","Cleanliness","Departure_Delay_in_Minutes","Arrival_Delay_in_Minutes","satisfaction"
"Gender",1,-0.0402059751985286,0.0186188735601482,0.00415419867997882,-0.00504227030208181,-0.002528355513901,0.0147685617945197,-0.00801515656298375,0.0206523524131625,-0.0138098307758039,0.018525968283267,-0.0648602029843199,-0.0300901839827646,-0.0211261829895913,-0.020949183316004,0.0135062225626441,0.0212105107781993,0.00821123742100685,0.0295454935237754,0.0301303610824999,0.0058646318750982,-0.00447755776893063,0.015124550214274
"Customer_Type",-0.0402059751985286,1,-0.228369943659893,0.49692672947048,0.166244260982853,-0.202232247023639,0.0870413622966485,-0.155735402151987,0.00634602103215325,0.0226918652973903,0.0359867314584431,-0.0831461204986737,-0.0133793751266514,-0.118928148601874,0.0463404100248091,-0.0155492672356754,0.0774524616760434,0.0934626688369498,0.0828746436608395,0.0846494197866457,0.0121107256343904,-0.0169268932474261,-0.274092552798162
"Age",0.0186188735601482,-0.228369943659893,1,0.0795339052985314,-0.0233544394250945,-0.0351120211893234,-0.0303708816415548,0.023280610729263,-0.0361332367428262,0.021466121265347,-0.0518678376744528,0.128410148698503,0.0747972211888368,0.039768311091577,0.0534074880500121,0.0245058378935391,-0.0497932665532546,0.00523580543566082,-0.0597768910831946,-0.0555769146809806,0.00410479682055901,-0.00720015810557123,-0.0391063339790131
"Type_of_Travel",0.00415419867997882,0.49692672947048,0.0795339052985314,1,-0.423066537879897,0.113098471664037,-0.029448140302876,-0.177914977759619,0.0991977041445916,0.0611634791887938,-0.0316064621074646,-0.00685129478457671,-0.0154403321461849,0.113264104551522,-0.0721258516562475,0.00995544522676841,-0.0711382630184099,-0.116010028830639,-0.0821957459566331,-0.0718987065097171,-0.0124015545430537,0.0210566581437501,0.35126084122687
"Class",-0.00504227030208181,0.166244260982853,-0.0233544394250945,-0.423066537879897,1,-0.257771852491859,0.150766183291905,0.00321295086218577,-0.0671440693427132,-0.0222645568105141,-0.0185005598889734,-0.0830043588253743,-0.063508911540001,0.075394917440464,-0.0677061399351037,-0.0267551191677653,-0.0610150906789901,-0.0592096275766343,-0.0570504456579358,-0.00292894856885017,-0.00150121169467451,0.00201394843702842,-0.120948151242004
"Flight_Distance",-0.002528355513901,-0.202232247023639,-0.0351120211893234,0.113098471664037,-0.257771852491859,1,-0.0650395902664973,0.00855105332275659,0.0246907003685,0.00905968155840455,-0.0111529400131171,0.0410891318184509,0.0139300948112522,0.00651054092211648,0.0100964747154492,0.0364005838965914,-0.00278579345150085,0.00458995156570027,-0.0106186753883805,-0.000151523221153652,0.0102313005327838,-0.00910311450620492,0.00954987255822975
"Inflight_wifi_service",0.0147685617945197,0.0870413622966485,-0.0303708816415548,-0.029448140302876,0.150766183291905,-0.0650395902664973,1,0.0837438045520998,0.53895464627075,0.0620295753875223,0.0227348474757818,0.236777212444468,-0.0598308062196586,0.123580249956361,-0.00756313096334694,0.045607077389041,0.0183184974367258,-0.036535482767401,-0.0175247587408851,-0.041213833910873,-0.00496036480225435,0.0046763547046099,0.170369443263291
"Departure_Arrival_time_convenient",-0.00801515656298375,-0.155735402151987,0.023280610729263,-0.177914977759619,0.00321295086218577,0.00855105332275659,0.0837438045520998,1,0.23892041261171,0.299445766100721,0.0145508159100052,-0.0824592963780338,0.0359120759163784,-0.085002924932427,0.0666000525111542,-0.0327225379901855,0.0413117449907797,0.0915466814099756,0.0491638500156924,0.0544577609764759,0.00544927252437422,-0.00291164424325082,-0.060412920075839
"Ease_of_Online_booking",0.0206523524131625,0.00634602103215325,-0.0361332367428262,0.0991977041445916,-0.0671440693427132,0.0246907003685,0.53895464627075,0.23892041261171,1,0.2661288711412,0.0173183006772306,0.252032941401074,-0.0751813864252876,-0.034381394348407,-0.0203318978095597,0.0647664567505909,-0.0252491550507663,-0.0382096591495908,-0.00846308955539841,-0.0418970812284404,0.00167835769357872,-0.00439585184137593,-0.105727200840673
"Gate_location",-0.0138098307758039,0.0226918652973903,0.021466121265347,0.0611634791887938,-0.0222645568105141,0.00905968155840455,0.0620295753875223,0.299445766100721,0.2661288711412,1,-0.0330733164754406,-0.212096254583764,0.0621519001910174,0.0129885851611422,-0.0424517509912624,-0.0475611388966454,-0.00371098208331997,-0.0302428685186899,0.00362167549224432,0.0129514010260728,-0.00113306837940072,0.00237727860906657,0.0100371704892225
"Food_and_drink",0.018525968283267,0.0359867314584431,-0.0518678376744528,-0.0316064621074646,-0.0185005598889734,-0.0111529400131171,0.0227348474757818,0.0145508159100052,0.0173183006772306,-0.0330733164754406,1,-0.0195070813964176,0.142803582498017,0.352825116188876,-0.0986473633545421,-0.0762396845320296,-0.070116034301808,0.0295610904452886,-0.0903470352472715,0.232971221162651,0.00151987009111474,-0.0082216761221632,-0.0123325663293244
